query_id,source_query,gold_codes,gold_labels,original_row_indices,original_mapping_pair_count
1063,petal,EFO:0001025,obsolete_petal,1584|1585,1
1064,sepal,EFO:0001026,obsolete_sepal,1586|1587,1
1065,fruit,EFO:0001028,obsolete_fruit,1588|1589,1
1066,inflorescence,EFO:0001029,obsolete_inflorescence,1590|1591,1
1067,tassel inflorescence,EFO:0001035,obsolete_female inflorescence,1592,1
1068,stem,EFO:0001040,obsolete_stem,1594|1595,1
1069,xylem,EFO:0001042,obsolete_xylem,1596|1597,1
1070,phloem,EFO:0001044,obsolete_phloem,1598|1599,1
1071,nectar,EFO:0001046,nectar,1600,1
1072,bulb,EFO:0001048,bulb,1601,1
1073,stamen,EFO:0001050,obsolete_stamen,1602|1603,1
1074,carpel,EFO:0001051,obsolete_carpel,1604|1605,1
1075,plant ovary,EFO:0001052,obsolete_plant ovary,1606|1607,1
1076,leprosy,EFO:0001054,leprosy,1608|1609,1
1077,Leprosy,EFO:0001054,leprosy,1610,1
1078,borderline leprosy,EFO:0001055,borderline leprosy,1611|1612,1
1079,tuberculoid leprosy,EFO:0001056,tuberculoid leprosy,1613|1614,1
1080,lepromatous leprosy,EFO:0001057,lepromatous leprosy,1615|1616,1
1081,sensory system disease,EFO:0001058,sensory system disease,1617,1
1082,cataract,EFO:0001059,obsolete_cataract,1618,1
1083,celiac disease,EFO:0001060,celiac disease,1619|1620,1
1084,Celiac Disease,EFO:0001060,celiac disease,1621,1
1085,cervix carcinoma,EFO:0001061,cervical carcinoma,1622,1
1086,cervical carcinoma,EFO:0001061,cervical carcinoma,1623|1624,1
1087,Cervical Carcinoma,EFO:0001061,cervical carcinoma,1625,1
1088,cytomegalovirus infection,EFO:0001062,cytomegalovirus infection,1626,1
1089,Cytomegaloviral Infection,EFO:0001062,cytomegalovirus infection,1627,1
1090,Down syndrome,EFO:0001064,Down syndrome,1628|1629,1
1091,Down Syndrome,EFO:0001064,Down syndrome,1630,1
1092,endometriosis,EFO:0001065,endometriosis,1631|1633,1
1093,Endometriose,EFO:0001065,endometriosis,1632,1
1094,Endometriosis,EFO:0001065,endometriosis,1634,1
1095,experimental autoimmune encephalomyelitis,EFO:0001066,experimental autoimmune encephalomyelitis,1635,1
1096,parasitic infectious disease,EFO:0001067,parasitic infection,1636|1637,1
1097,Parasitic Infection,EFO:0001067,parasitic infection,1638,1
1098,malaria,EFO:0001068,malaria,1639|1640,1
1099,Malaria,EFO:0001068,malaria,1641,1
1100,nutrition disease,EFO:0001069,nutritional disorder,1642,1
1101,nutritional disorder,EFO:0001069,nutritional disorder,1643,1
1102,Nutritional Disorder,EFO:0001069,nutritional disorder,1644,1
1103,lung carcinoma,EFO:0001071,lung carcinoma,1645|1646|1647,1
1104,Lung Carcinoma,EFO:0001071,lung carcinoma,1648,1
1105,obesity,EFO:0001073,obesity,1649,1
1106,Obesidad,EFO:0001073,obesity,1650,1
1107,obesity disorder,EFO:0001073,obesity,1651,1
1108,Obesity,EFO:0001073,obesity,1652,1
1109,morbid obesity,EFO:0001074,morbid obesity,1653|1654,1
1110,ovarian carcinoma,EFO:0001075,ovarian carcinoma,1655|1656|1657,1
1111,Ovarian Carcinoma,EFO:0001075,ovarian carcinoma,1658,1
1112,Pseudomonas infection,EFO:0001076,Pseudomonas infection,1659,1
1113,Pseudomonas aeruginosa CF5 infection,EFO:0001077,Pseudomonas aeruginosa CF5 infection,1660,1
1114,Pseudomonas aeruginosa PA14 infection,EFO:0001078,Pseudomonas aeruginosa PA14 infection,1661,1
1115,Rett syndrome,EFO:0001079,obsolete_Rett syndrome,1662,1
1116,A-549 cell,EFO:0001086,A549,1663,1
1117,A549 cell,EFO:0001086,A549,1664,1
1118,AU-565 cell,EFO:0001087,AU565,1665,1
1119,AU565 cell,EFO:0001087,AU565,1666,1
1120,BT-549 cell,EFO:0001096,BT549,1667|1668,1
1121,CACO-2 cell,EFO:0001099,Caco-2,1669,1
1122,Caco-2 cell,EFO:0001099,Caco-2,1670,1
1123,CAMA-1 cell,EFO:0001100,CAMA1,1671|1672,1
1124,HCC1143 cell,EFO:0001169,HCC1143,1673,1
1125,HCC-1500 cell,EFO:0001172,HCC1500,1674,1
1126,HCC1500 cell,EFO:0001172,HCC1500,1675,1
1127,HCC1937 cell,EFO:0001174,HCC1937,1676,1
1128,HCC-1954 cell,EFO:0001175,HCC1954,1677,1
1129,HCC1954 cell,EFO:0001175,HCC1954,1678,1
1130,HCC202 cell,EFO:0001176,HCC202,1679,1
1131,HCC2157 cell,EFO:0001177,HCC2157,1680,1
1132,HEK-293 cell,EFO:0001182,HEK293,1681,1
1133,HEK293,EFO:0001182,HEK293,1682,1
1134,HEK-293T cell,EFO:0001184,HEK293T,1683,1
1135,HEK293T cell,EFO:0001184,HEK293T,1684,1
1136,HeLa cell,EFO:0001185,HeLa,1685|1686,1
1137,Hepa-RG cell,EFO:0001186,HepaRG,1687,1
1138,Hep G2 cell,EFO:0001187,HepG2,1688,1
1139,HT-29 cell,EFO:0001193,HT-29,1689|1690,1
1140,IMR-32 cell,EFO:0001195,IMR-32,1691|1692,1
1141,IMR-90 cell,EFO:0001196,IMR-90,1693|1694,1
1142,MCF-12A cell,EFO:0001202,MCF12A,1695,1
1143,MCF-7 cell,EFO:0001203,MCF-7,1696,1
1144,MDA-MB-134-VI cell,EFO:0001205,MDAMB134VI,1697,1
1145,MDA-MB-231 cell,EFO:0001209,MDAMB231,1698|1699,1
1146,MDA-MB-361 cell,EFO:0001211,MDAMB361,1700|1701,1
1147,MDA-MB-436 cell,EFO:0001214,MDAMB436,1702|1703,1
1148,MDA-MB-453 cell,EFO:0001215,MDAMB453,1704|1705,1
1149,MDA-MB-468 cell,EFO:0001216,MDAMB468,1706|1707,1
1150,MOLT-4 cell,EFO:0001220,MOLT-4,1708|1709,1
1151,NCI-H929 cell,EFO:0001221,NCI-H929,1710|1711,1
1152,NIH-3T3 cell,EFO:0001222,NIH3T3,1712,1
1153,SCHNEIDER-2 cell,EFO:0001233,S2,1713,1
1154,SK-BR-3 cell,EFO:0001236,SKBR3,1714,1
1155,SKBR3 cell,EFO:0001236,SKBR3,1715,1
1156,SUM1315MO2 cell,EFO:0001239|EFO:0022374,SUM1315MO2|sum1315,1716|5980,2
1157,SUM-149PT cell,EFO:0001240,SUM149PT,1717,1
1158,SUM149PT cell,EFO:0001240,SUM149PT,1718,1
1159,SUM-159PT cell,EFO:0001241,SUM159PT,1719,1
1160,SUM-185PE cell,EFO:0001242,SUM185PE,1720,1
1161,SUM185PE cell,EFO:0001242,SUM185PE,1721,1
1162,SUM-52PE cell,EFO:0001246,SUM52PE,1722,1
1163,SUM52PE cell,EFO:0001246,SUM52PE,1723,1
1164,THP-1 cell,EFO:0001253,THP-1,1724|1725,1
1165,U-266 cell,EFO:0001254,U266,1726|1727,1
1166,U-373MG cell,EFO:0001255,U373,1728,1
1167,U373 MG cell,EFO:0001255,U373,1729,1
1168,U-937 cell,EFO:0001257,U937,1730,1
1169,WI-38 cell,EFO:0001260,WI38,1731|1733,1
1170,WI 38 cell,EFO:0001260,WI38,1732,1
1171,ZR-75-1 cell,EFO:0001262,ZR751,1734|1735,1
1172,h minus,EFO:0001269,mating type h minus,1736,1
1173,alpha mating type (yeast),EFO:0001270,mating type alpha,1737,1
1174,mixed sex,EFO:0001271,mixed sex population,1738,1
1175,adult stage,EFO:0001272,adult,1739,1
1176,adult Ce,EFO:0001272,adult,1740,1
1177,obsolete frog,EFO:0001272,adult,1741,1
1178,Blastula:128-cell,EFO:0001273,blastula 128-cell,1742,1
1179,Blastula:1k-cell,EFO:0001274,blastula 1k-cell,1743,1
1180,a mating type (yeast),EFO:0001275,mating type a,1744,1
1181,Blastula:256-cell,EFO:0001276,blastula 256-cell,1745,1
1182,Blastula:30%-epiboly,EFO:0001277,blastula 30%-epiboly,1746,1
1183,Blastula:512-cell,EFO:0001278,blastula 512-cell,1747,1
1184,Blastula:Dome,EFO:0001279,blastula dome,1748,1
1185,Blastula:High,EFO:0001280,blastula high,1749,1
1186,Blastula:Oblong,EFO:0001281,blastula oblong,1750,1
1187,blastoderm stage,EFO:0001282,obsolete_blastula stage,1751,1
1188,blastula embryo Ce,EFO:0001282,obsolete_blastula stage,1752,1
1189,blastula stage,EFO:0001282,obsolete_blastula stage,1753,1
1190,Blastula:Sphere,EFO:0001283,blastula sphere,1754,1
1191,Cleavage:16-cell,EFO:0001284,cleavage 16-cell,1755,1
1192,Cleavage:2-cell,EFO:0001285,cleavage 2-cell,1756,1
1193,Cleavage:32-cell,EFO:0001286,cleavage 32-cell,1757,1
1194,Cleavage:4-cell,EFO:0001287,cleavage 4-cell,1758,1
1195,Cleavage:64-cell,EFO:0001288,cleavage 64-cell,1759,1
1196,Cleavage:8-cell,EFO:0001289,cleavage 8-cell,1760,1
1197,Gastrula:50%-epiboly,EFO:0001291,gastrula 50%-epiboly,1761,1
1198,Gastrula:75%-epiboly,EFO:0001292,gastrula 75%-epiboly,1762,1
1199,Gastrula:90%-epiboly,EFO:0001293,gastrula 90%-epiboly,1763,1
1200,Gastrula:Bud,EFO:0001294,gastrula bud,1764,1
1201,Gastrula:Germ-ring,EFO:0001295,gastrula germ-ring,1765,1
1202,gastrula stage,EFO:0001296,obsolete_gastrula stage,1766|1768,1
1203,gastrulating embryo Ce,EFO:0001296|EFO:0005503,obsolete_gastrula stage|gastrulating embryo Ce,1767|3510,2
1204,Gastrula:Shield,EFO:0001297,gastrula shield,1769,1
1205,Hatching:Long-pec,EFO:0001298|EFO:0002718,hatching stage|hatching long-pec,1770|2328,2
1206,Hatching:Pec-fin,EFO:0001299,hatching pec-fin,1771,1
1207,juvenile frog stage,EFO:0001300,obsolete_juvenile stage,1772,1
1208,Juvenile:Days 30-44,EFO:0001301,juvenile days 30-44,1773,1
1209,Juvenile:Days 45-89,EFO:0001302,juvenile days 45-89,1774,1
1210,larval stage,EFO:0001303,obsolete_larval stage,1775,1
1211,larva Ce,EFO:0001303|EFO:0007694,obsolete_larval stage|Caenorhabditis elegans larval stage,1776|5202,2
1212,tadpole stage,EFO:0001303,obsolete_larval stage,1777,1
1213,Larval:Day 4,EFO:0001304,larval day 4,1778,1
1214,Larval:Day 5,EFO:0001305,larval day 5,1779,1
1215,Larval:Day 6,EFO:0001306,larval day 6,1780,1
1216,Larval:Days 14-20,EFO:0001307,larval day 14-20,1781,1
1217,Larval:Days 21-29,EFO:0001308,larval day 21-29,1782,1
1218,Larval:Days 7-13,EFO:0001309,larval day 7-13,1783,1
1219,Pharyngula:High-pec,EFO:0001311,pharyngula high-pec,1784,1
1220,Pharyngula:Prim-15,EFO:0001312,pharyngula prim-15,1785,1
1221,Pharyngula:Prim-25,EFO:0001313,pharyngula prim-25,1786,1
1222,Pharyngula:Prim-5,EFO:0001314,pharyngula prim-5,1787,1
1223,Segmentation:1-4 somites,EFO:0001316,segmentation 1-4 somites,1788,1
1224,Segmentation:5-9 somites,EFO:0001317,segmentation 5-9 somites,1789,1
1225,Segmentation:10-13 somites,EFO:0001318,segmentation 10-13 somites,1790,1
1226,Segmentation:14-19 somites,EFO:0001319,segmentation 14-19 somites,1791,1
1227,Segmentation:20-25 somites,EFO:0001320,segmentation 20-25 somites,1792,1
1228,Segmentation:26+ somites,EFO:0001321,segmentation 26+ somites,1793,1
1229,1-cell stage embryo,EFO:0001322,fertilized egg stage,1794,1
1230,fertilized egg stage,EFO:0001322,fertilized egg stage,1795,1
1231,zygote,EFO:0001322,fertilized egg stage,1796,1
1232,Kupffer's vesicle,EFO:0001322,fertilized egg stage,1797,1
1233,Zygote:1-cell,EFO:0001322,fertilized egg stage,1798,1
1234,jejunum,EFO:0001333,obsolete_jejunum,1799|1801,1
1235,Jejunum,EFO:0001333,obsolete_jejunum,1800,1
1236,ileum,EFO:0001334,obsolete_ileum,1802|1804|1805,1
1237,Ileum,EFO:0001334,obsolete_ileum,1803,1
1238,familial amyotrophic lateral sclerosis,EFO:0001356,familial amyotrophic lateral sclerosis,1807,1
1239,sporatic amyotrophic lateral sclerosis,EFO:0001357,sporadic amyotrophic lateral sclerosis,1808,1
1240,sporadic amyotrophic lateral sclerosis,EFO:0001357,sporadic amyotrophic lateral sclerosis,1809,1
1241,post-traumatic stress disorder,EFO:0001358,post-traumatic stress disorder,1810|1811,1
1242,Post-Traumatic Stress Disorder,EFO:0001358,post-traumatic stress disorder,1812,1
1243,type 1 diabetes mellitus,EFO:0001359,obsolete_type I diabetes mellitus,1813,1
1244,type 2 diabetes mellitus,EFO:0001360,obsolete_type II diabetes mellitus,1814,1
1245,pulmonary hypertension,EFO:0001361,pulmonary arterial hypertension,1815,1
1246,pulmonary arterial hypertension,EFO:0001361,pulmonary arterial hypertension,1816,1
1247,inner ear,EFO:0001363,obsolete_inner ear structure,1817,1
1248,spiral organ,EFO:0001364,obsolete_organ of corti,1818,1
1249,age related macular degeneration,EFO:0001365,age-related macular degeneration,1819,1
1250,macular degeneration,EFO:0001365|EFO:0009606,age-related macular degeneration|macular degeneration,1820|5733|5734,2
1251,age-related macular degeneration,EFO:0001365,age-related macular degeneration,1821,1
1252,Age-Related Macular Degeneration,EFO:0001365,age-related macular degeneration,1822,1
1253,dentate gyrus,EFO:0001366,obsolete_dentate gyrus,1823,1
1254,EMAPA_19148,EFO:0001366,obsolete_dentate gyrus,1824,1
1255,hippocampus,EFO:0001366,obsolete_dentate gyrus,1825,1
1256,embryo Ce,EFO:0001367|EFO:0005858|EFO:0007725,obsolete_embryo stage|C. elegans embryo stage|embryo stage,1826|3833|5213,3
1257,Intercostal muscle,EFO:0001368,obsolete_intercostal muscle,1827,1
1258,Vertebral column,EFO:0001369,vertebral column structure,1829,1
1259,Intervertebral disk,EFO:0001370,obsolete_intervertebral disc,1832,1
1260,intervertebral disc,EFO:0001370,obsolete_intervertebral disc,1833,1
1261,Vertebra,EFO:0001371,obsolete_vertebra,1834,1
1262,vertebra,EFO:0001371,obsolete_vertebra,1835,1
1263,Precentral gyrus,EFO:0001373,obsolete_precentral gyrus,1836,1
1264,synovial sarcoma,EFO:0001376,synovial sarcoma,1837|1838|1840,1
1265,Sarcoma sinovial,EFO:0001376,synovial sarcoma,1839,1
1266,Synovial Sarcoma,EFO:0001376,synovial sarcoma,1841,1
1267,multiple myeloma,EFO:0001378,multiple myeloma,1842|1843,1
1268,plasma cell myeloma,EFO:0001378,multiple myeloma,1844,1
1269,Multiple Myeloma,EFO:0001378,multiple myeloma,1845,1
1270,endocrine system disease,EFO:0001379,endocrine system disease,1846,1
1271,endocrine system disorder,EFO:0001379,endocrine system disease,1847,1
1272,Endocrine System Disorder,EFO:0001379,endocrine system disease,1848,1
1273,hypopituitarism,EFO:0001380,hypopituitarism,1849|1850,1
1274,Hypopituitarism,EFO:0001380,hypopituitarism,1851,1
1275,Peyer's gland,EFO:0001381,obsolete_Peyer's patch,1852,1
1276,Postcentral gyrus,EFO:0001383,obsolete_postcentral gyrus,1853,1
1277,prefrontal cortex,EFO:0001384,obsolete_prefrontal cortex,1854,1
1278,Prefrontal cortex,EFO:0001384,obsolete_prefrontal cortex,1855,1
1279,Tibialis anterior,EFO:0001385,obsolete_tibialis anterior muscle,1856,1
1280,Uvula,EFO:0001386,obsolete_uvula,1857,1
1281,submandibular gland,EFO:0001387,obsolete_submandibular gland,1858,1
1282,hypopharynx,EFO:0001388|EFO:0001932,obsolete_laryngopharynx|obsolete_hypopharynx,1859|1945,2
1283,tear gland,EFO:0001389,obsolete_lacrimal gland,1860,1
1284,corpus callosum,EFO:0001390,obsolete_corpus callosum,1861,1
1285,subthalamic nucleus,EFO:0001392,obsolete_subthalamic nucleus,1862,1
1286,pons,EFO:0001394,obsolete_pons,1863,1
1287,femur,EFO:0001396,obsolete_femur,1864,1
1288,pulmonary artery,EFO:0001399,obsolete_pulmonary artery,1865,1
1289,scapula,EFO:0001400,obsolete_scapula,1866,1
1290,tonsil,EFO:0001401,obsolete_tonsil,1867,1
1291,trigeminal nerve,EFO:0001402,obsolete_trigeminal nerve,1868,1
1292,Corneoscleral junction,EFO:0001403,obsolete_corneal limbus,1869,1
1293,seminiferous tubule,EFO:0001404,seminiferous tubules,1870,1
1294,extraembryonic component,EFO:0001406,obsolete_extraembryonic tissue,1871,1
1295,extraembryonic structure,EFO:0001406,obsolete_extraembryonic tissue,1872|1873,1
1296,placenta,EFO:0001407,obsolete_placenta,1874|1876,1
1297,Placenta,EFO:0001407,obsolete_placenta,1875,1
1298,talus,EFO:0001409,obsolete_ankle,1877,1
1299,gastrocnemius,EFO:0001413,obsolete_gastrocnemius,1878,1
1300,umbilical cord,EFO:0001415,obsolete_umbilical cord,1879,1
1301,Umbilical cord,EFO:0001415,obsolete_umbilical cord,1880,1
1302,cervical adenocarcinoma,EFO:0001416,cervical adenocarcinoma,1881|1882|1883,1
1303,Cervical Adenocarcinoma,EFO:0001416,cervical adenocarcinoma,1884,1
1304,sciatic nerve,EFO:0001417,obsolete_sciatic nerve,1885,1
1305,Sciatic nerve,EFO:0001417,obsolete_sciatic nerve,1886,1
1306,liver disease,EFO:0001421,liver disease,1887,1
1307,liver disorder,EFO:0001421,liver disease,1888,1
1308,Liver and Intrahepatic Bile Duct Disorder,EFO:0001421,liver disease,1889,1
1309,liver cirrhosis,EFO:0001422,cirrhosis of liver,1890,1
1310,cirrhosis of liver,EFO:0001422,cirrhosis of liver,1891,1
1311,Cirrhosis,EFO:0001422,cirrhosis of liver,1892,1
1312,encephalomyelitis,EFO:0001423,encephalomyelitis,1893|1894,1
1313,Encephalomyelitis,EFO:0001423,encephalomyelitis,1895,1
1314,masseter,EFO:0001424,obsolete_masseter muscle,1896,1
1315,lymphoid neoplasm,EFO:0001642,lymphoid neoplasm,1897|1898,1
1316,Lymphocytic Neoplasm,EFO:0001642,lymphoid neoplasm,1899,1
1317,stria vascularis,EFO:0001644,obsolete_stria vascularis,1900,1
1318,coronary artery disease,EFO:0001645,coronary artery disease,1901,1
1319,coronary artery disorder,EFO:0001645,coronary artery disease,1902,1
1320,Coronary Artery Disease,EFO:0001645,coronary artery disease,1903,1
1321,prostate carcinoma,EFO:0001663,prostate carcinoma,1904|1905|1906,1
1322,Prostate Carcinoma,EFO:0001663,prostate carcinoma,1907,1
1323,prepuce,EFO:0001664,obsolete_foreskin,1908,1
1324,aortic aneurysm,EFO:0001666,aortic aneurysm,1909|1911|1912,1
1325,Aneurisma aórtico,EFO:0001666,aortic aneurysm,1910,1
1326,Human papillomavirus infectious disease,EFO:0001668,human papilloma virus infection,1913,1
1327,human papilloma virus infection,EFO:0001668,human papilloma virus infection,1914,1
1328,Human Papillomavirus Infection,EFO:0001668,human papilloma virus infection,1915,1
1329,simian immunodeficiency virus infection,EFO:0001675,simian immunodeficiency virus infection,1916,1
1330,size,EFO:0001695,size,1917,1
1331,area,EFO:0001696,area,1918,1
1332,temperature,EFO:0001702,temperature,1919,1
1333,volume,EFO:0001715,volume,1920,1
1334,aerial part,EFO:0001901,aerial part,1921,1
1335,articular cartilage,EFO:0001902,obsolete_articular cartilage,1922,1
1336,blood plasma,EFO:0001905,obsolete_blood plasma,1923,1
1337,capillary,EFO:0001906,obsolete_capillary,1924,1
1338,caudal fin,EFO:0001909,obsolete_caudal fin,1925,1
1339,caudate putamen,EFO:0001912,obsolete_caudate putamen,1926,1
1340,cervix epithelium,EFO:0001913,obsolete_cervix epithelium,1927,1
1341,brain ventricle,EFO:0001914,obsolete_brain ventricle,1928,1
1342,choroid plexus,EFO:0001915,obsolete_choroid plexus,1929,1
1343,corneal epithelium,EFO:0001917,obsolete_corneal epithelium,1930,1
1344,dorsal raphe nucleus,EFO:0001919,obsolete_dorsal raphe nucleus,1931,1
1345,Entorhinal area,EFO:0001920,obsolete_entorhinal cortex,1932,1
1346,extraocular muscle,EFO:0001921,obsolete_extraocular muscle,1933,1
1347,Extra-ocular muscle,EFO:0001921,obsolete_extraocular muscle,1934,1
1348,flower bud,EFO:0001924,obsolete_flower bud,1935,1
1349,gingiva,EFO:0001925,obsolete_gum,1936,1
1350,Gingiva,EFO:0001925,obsolete_gum,1937,1
1351,gynoecium,EFO:0001926,obsolete_gynoecium,1938|1939,1
1352,adult head capsule,EFO:0001927,obsolete_head capsule,1940,1
1353,hindlimb muscle,EFO:0001928,obsolete_hindlimb muscle,1941,1
1354,hypoblast,EFO:0001930,obsolete_hypoblast,1942,1
1355,hypocotyl,EFO:0001931,obsolete_hypocotyl,1943|1944,1
1356,Ventral tegmental area,EFO:0001935,obsolete_ventral tegmental area,1946,1
1357,Ventral striatum,EFO:0001936,obsolete_ventral striatum,1947,1
1358,vastus lateralis,EFO:0001937,obsolete_vastus lateralis,1948,1
1359,quadriceps,EFO:0001938,obsolete_quadricep muscle,1949,1
1360,urine,EFO:0001939,obsolete_urine,1950,1
1361,umbilical vein,EFO:0001940,obsolete_umbilical vein,1951,1
1362,Superior temporal gyrus,EFO:0001944,obsolete_superior temporal gyrus,1952,1
1363,superior cervical ganglion,EFO:0001945,obsolete_superior cervical ganglion,1953,1
1364,soleus,EFO:0001946,obsolete_soleus muscle,1954,1
1365,shoot tip,EFO:0001947,obsolete_shoot apex,1955,1
1366,shoot axis apex,EFO:0001947,obsolete_shoot apex,1956,1
1367,muscle,EFO:0001949,obsolete_muscle,1957,1
1368,midgut,EFO:0001950,obsolete_midgut,1958|1959,1
1369,Internal carotid artery,EFO:0001952,obsolete_internal carotid artery,1960,1
1370,External carotid artery,EFO:0001953,obsolete_external carotid artery,1961,1
1371,Subdivision of common carotid artery,EFO:0001954,division of carotid artery,1962,1
1372,interventricular septum,EFO:0001956,obsolete_interventricular septum,1963,1
1373,Interventricular septum,EFO:0001956,obsolete_interventricular septum,1964,1
1374,Knee joint,EFO:0001957,obsolete_knee joint,1965,1
1375,lateral root,EFO:0001960,obsolete_lateral root,1966,1
1376,lateral ventricle,EFO:0001961,obsolete_lateral ventricle,1967,1
1377,brain stem,EFO:0001962,obsolete_brain stem,1968,1
1378,locus ceruleus,EFO:0001963,obsolete_locus coeruleus,1969,1
1379,male accessory gland,EFO:0001964,obsolete_male accessory gland,1970,1
1380,mandible,EFO:0001965,obsolete_mandible,1971,1
1381,Ligament,EFO:0001966,obsolete_ligament,1972,1
1382,Medial geniculate body,EFO:0001968,obsolete_medial geniculate nucleus,1973,1
1383,medial geniculate nucleus,EFO:0001968,obsolete_medial geniculate nucleus,1974,1
1384,Medulla of thymus,EFO:0001969,obsolete_medulla of thymus,1975,1
1385,myometrium,EFO:0001970,obsolete_myometrium,1976,1
1386,Nucleus of stria terminalis,EFO:0001971,obsolete_nucleus of terminal stria,1977,1
1387,bed nucleus of stria terminalis,EFO:0001971,obsolete_nucleus of terminal stria,1978,1
1388,olfactory epithelium,EFO:0001972,obsolete_olfactory epithelium,1979,1
1389,Olfactory epithelium,EFO:0001972,obsolete_olfactory epithelium,1980,1
1390,Olfactory system,EFO:0001973,obsolete_olfactory system,1981,1
1391,Optic disc,EFO:0001974,obsolete_optic disc,1985,1
1392,Oral cavity,EFO:0001975,obsolete_oral cavity,1986,1
1393,Oropharynx,EFO:0001976,obsolete_oropharynx,1987,1
1394,Palatine tonsil,EFO:0001977,obsolete_palatine tonsil,1988,1
1395,perirhinal cortex,EFO:0001978,obsolete_perirhinal cortex,1989,1
1396,Plantaris,EFO:0001979,obsolete_plantaris muscle,1990,1
1397,pleura,EFO:0001980,obsolete_pleura,1991,1
1398,Mesoderm,EFO:0001981,obsolete_mesoderm,1992,1
1399,presomitic mesoderm,EFO:0001982,obsolete_presomitic mesoderm,1993,1
1400,segmental plate,EFO:0001982,obsolete_presomitic mesoderm,1994,1
1401,rosette,EFO:0001984,obsolete_rosette leaf,1995,1
1402,rosette leaf,EFO:0001984,obsolete_rosette leaf,1996,1
1403,Peduncle of midbrain,EFO:0001987,obsolete_cerebral peduncle,1997,1
1404,Lateral geniculate body,EFO:0001988,obsolete_lateral geniculate nucleus,1998,1
1405,lateral geniculate nucleus,EFO:0001988,obsolete_lateral geniculate nucleus,1999,1
1406,Orbitofrontal cortex,EFO:0001990,obsolete_orbitofrontal cortex,2000,1
1407,Superior frontal gyrus,EFO:0001991,obsolete_superior frontal gyrus,2001,1
1408,seedling,EFO:0001992,obsolete_seedling,2002|2003,1
1409,BC-3 cell,EFO:0002046,BC-3,2004|2005,1
1410,HaCaT cell,EFO:0002056,HaCaT,2006,1
1411,HL-60 cell,EFO:0002058|EFO:0002793,obsolete_HL60|HL-60,2007|2336|2337,2
1412,JEG-3 cell,EFO:0002066,JEG3,2008|2009,1
1413,K-562 cell,EFO:0002067,K562,2010,1
1414,KELLY cell,EFO:0002069,KELLY,2011,1
1415,LNCaP cell,EFO:0002071,LNCAP,2012,1
1416,PC-3 cell,EFO:0002074,PC-3,2013|2014,1
1417,RAMOS (RA.1) cell,EFO:0002077,Ramos,2015,1
1418,RAMOS cell,EFO:0002077,Ramos,2016,1
1419,SK-MEL-2 cell,EFO:0002079,SK-MEL-2,2017|2018,1
1420,SW-480 cell,EFO:0002083,SW480,2019,1
1421,SW480 cell,EFO:0002083,SW480,2020,1
1422,T-84 cell,EFO:0002084,T84,2021,1
1423,T84 cell,EFO:0002084,T84,2022,1
1424,T-98G cell,EFO:0002085,T98G,2023,1
1425,T98G cell,EFO:0002085,T98G,2024,1
1426,fibrosarcoma,EFO:0002087,fibrosarcoma,2025|2026|2028,1
1427,Fibrosarcoma,EFO:0002087,fibrosarcoma,2027|2029,1
1428,CWR22-Rv1 cell,EFO:0002095,22Rv1,2030,1
1429,22RV1 cell,EFO:0002095,22Rv1,2031,1
1430,22Rv1 cell,EFO:0002095,22Rv1,2032,1
1431,5637 cell,EFO:0002096,5637,2033|2034,1
1432,A-172 cell,EFO:0002101,A172,2035,1
1433,A172 cell,EFO:0002101,A172,2036,1
1434,RCB2530 cell,EFO:0002101,A172,2037,1
1435,A-204 cell,EFO:0002102,A204,2038|2039,1
1436,A-375 cell,EFO:0002103,A375,2040|2041,1
1437,A498 cell,EFO:0002105,A498,2042,1
1438,A7 cell,EFO:0002107,A7,2043,1
1439,AsPC-1 cell,EFO:0002112,AsPC1,2044,1
1440,C-33A cell,EFO:0002120,C33A,2045,1
1441,C-33 A cell,EFO:0002120,C33A,2046,1
1442,CCRF-CEM cell,EFO:0002128,CCRFCEM,2047|2048,1
1443,CAOV-3 cell,EFO:0002148,CaOv3,2049,1
1444,Caov-3 cell,EFO:0002148,CaOv3,2050,1
1445,Caki-2 cell,EFO:0002150,Caki2,2051|2052,1
1446,Calu-6 cell,EFO:0002152,Calu6,2053|2054,1
1447,D-283MED cell,EFO:0002156,D283Med,2055,1
1448,D283 Med cell,EFO:0002156,D283Med,2056,1
1449,DB cell,EFO:0002158,DB,2057,1
1450,DG-75 cell,EFO:0002160,DG75,2058|2059,1
1451,DOHH2 cell,EFO:0002167,DOHH2,2060,1
1452,DU4475 cell,EFO:0002168,DU4475,2061,1
1453,DAUDI cell,EFO:0002169,Daudi,2062,1
1454,Daudi cell,EFO:0002169,Daudi,2063,1
1455,Detroit-562 cell,EFO:0002170,Detroit562,2064,1
1456,Detroit 562 cell,EFO:0002170,Detroit562,2065,1
1457,FaDu cell,EFO:0002178,FaDu,2066|2067,1
1458,H4 neuroglioma cell,EFO:0002184,H4,2068,1
1459,H4 cell,EFO:0002184,H4,2069,1
1460,HCT-15 cell,EFO:0002188,HCT15,2070|2071,1
1461,HCT-8 cell,EFO:0002189,HCT8,2072,1
1462,HEC-1-A cell,EFO:0002191,HEC1A,2073|2074,1
1463,HUT-78 cell,EFO:0002209,HuT78,2075,1
1464,HuT 78 cell,EFO:0002209,HuT78,2076,1
1465,J-82 cell,EFO:0002210,J82,2077,1
1466,J82 cell,EFO:0002210,J82,2078,1
